problem,model,coverage,rel_l2,rel_linf,mae,rmse,max_abs
Rayleigh inverse,classical_interpolation,0.9977777777777778,8.953220029039827e-06,5.113535853745687e-05,5.892204018229196e-06,2.063450919604482e-05,0.0002531200247604115
Rayleigh inverse,physics_guided_mlp,1.0,0.0016418787252886187,0.0025213619727350155,0.002226784071745316,0.0037806667544258835,0.012480741765038328
Fanno inverse,classical_interpolation,0.6490384615384616,8.463562519684325e-06,3.6844983416775586e-05,6.171229606086942e-06,1.8702238765606185e-05,0.00018238266791303914
Fanno inverse,physics_guided_mlp,1.0,0.0034307355989019054,0.00376136391340266,0.004377866395066222,0.0064378883613494964,0.018618751371343167
Oblique inverse,classical_interpolation,0.9705882352941176,0.0022483816243170983,0.015763221157990566,0.0013344191703669414,0.002530848148020578,0.0246947799862709
Oblique inverse,physics_guided_mlp,1.0,0.0007990272159095416,0.004542613354351587,0.0005076044710824908,0.0009014819231781153,0.007116492005286856
Nozzle inverse,classical_interpolation,0.9620535714285714,0.009458794245439144,0.047327219656637616,0.009667681557571407,0.021570291381977576,0.22271769732174773
Nozzle inverse,physics_guided_mlp,1.0,0.0019360482573404995,0.0047556296272876115,0.00352207755368644,0.004433208295213204,0.022882900859101163
Shock tube implicit,classical_interpolation,0.9739583333333334,0.00012561949189123078,0.00047785223460096145,0.00025516728888251144,0.0006130501619101082,0.005856100793039332
Shock tube implicit,physics_guided_mlp,1.0,0.0009489588449447835,0.004209402370802048,0.0023877275321380915,0.004716549464153436,0.053728223668470854
