problem,bin,distance_min,distance_max,count,mae,linf
Rayleigh inverse,1,0.020000000000000018,0.27856347438752793,180,0.0003830873050363103,0.002820718664734656
Rayleigh inverse,2,0.27856347438752793,0.6674888641425389,270,0.000502149952180802,0.002648496790871757
Rayleigh inverse,3,0.6674888641425389,2.3762494432071275,270,0.00360651036985959,0.012480741765038328
Rayleigh inverse,4,2.3762494432071275,3.95,180,0.004587842570629684,0.010408172757259582
Fanno inverse,1,9.999999999998899e-05,0.0025134099131171716,208,0.009132017084156542,0.013873306377602868
Fanno inverse,2,0.0025134099131171716,0.2551254180602007,312,0.0029636304789368065,0.012606995232241625
Fanno inverse,3,0.2551254180602007,1.2743143812709037,312,0.00194066000947595,0.018618751371343167
Fanno inverse,4,1.2743143812709037,3.95,208,0.005400879158555431,0.015556886685378135
Oblique inverse,1,0.050000000000000044,0.23500000000000051,170,0.0017271136098398045,0.007116492005286856
Oblique inverse,2,0.23500000000000051,0.5125000000000001,238,0.0007815526886632366,0.002299006685905769
Oblique inverse,3,0.5125000000000001,0.7900000000000018,272,0.00033334907048761464,0.001221725571717347
Oblique inverse,4,0.7900000000000018,0.975,170,0.00013508047660991805,0.00061948675222534
Nozzle inverse,1,0.035,0.10388888888888889,160,0.002403053342404378,0.009564158014145896
Nozzle inverse,2,0.10388888888888889,0.2588888888888889,288,0.0034476102656341525,0.022882900859101163
Nozzle inverse,3,0.2588888888888889,0.41388888888888886,256,0.004106272832077455,0.013015651142415319
Nozzle inverse,4,0.41388888888888886,0.48277777777777775,192,0.00378737162397857,0.009011809002466453
Shock tube implicit,1,0.003389830508474576,0.009698140075482878,192,0.006522717098034962,0.053728223668470854
Shock tube implicit,2,0.009698140075482878,0.046871156555214,288,0.00218856308744801,0.006650345712050587
Shock tube implicit,3,0.046871156555214,0.22616036256764463,288,0.0011653605155364842,0.0030619512589797893
Shock tube implicit,4,0.22616036256764463,0.6451612903225806,192,0.0003850351581787548,0.0012864958962932604
