problem,seed,rel_l2,rel_linf,mae,rmse,max_abs
Rayleigh inverse,11,0.0010310652782492063,0.0017087289795070348,0.0015742297684164907,0.0023741791394698863,0.008458208448559823
Rayleigh inverse,29,0.0012054451719850086,0.0016347972031331016,0.0019079617349391001,0.002775714439692121,0.008092246155508853
Rayleigh inverse,47,0.00222636732579614,0.0036784355062898866,0.0032699339838971686,0.005126537546369577,0.01820825575613494
Fanno inverse,11,0.0022617756858553367,0.001978981806117292,0.0032785050360966015,0.004244296578439909,0.009795959940280596
Fanno inverse,29,0.0021014536534433464,0.0018928310723750194,0.003012162987051189,0.003943447003537252,0.009369513808256347
Fanno inverse,47,0.0027313512076542514,0.005502505862602863,0.0031751465917492614,0.0051254705131294435,0.02723740401988417
Oblique inverse,11,0.0009887850131835134,0.004503001881143554,0.0005974597380472222,0.001115571281611119,0.007054436375539597
Oblique inverse,29,0.000834351125644083,0.003247339951525281,0.00057385163221484,0.0009413352165924285,0.005087307019282283
Oblique inverse,47,0.0010011899716996977,0.0033891031515204282,0.0006971412101744107,0.0011295668572779444,0.005309394307086102
Nozzle inverse,11,0.001169219169546808,0.0028652480502992838,0.001986511617349957,0.002677305228164869,0.013786857306027578
Nozzle inverse,29,0.0016012374059931232,0.003918893880174353,0.002368095792203587,0.0036665506264836494,0.018856737627928943
Nozzle inverse,47,0.002269667876783195,0.006162047842137915,0.003720099752665216,0.005197138253442087,0.029650233704407114
Shock tube implicit,11,0.0011619263703449914,0.005174888068562782,0.0027582196144298556,0.005775048337059646,0.06605154820447012
Shock tube implicit,29,0.0018457575876829886,0.003047622109405433,0.005407632265713277,0.009173850907780818,0.038899422751052626
Shock tube implicit,47,0.0012428674297485563,0.0045326949847236805,0.00348934863109146,0.006177344508691946,0.05785468541791783
